"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","cluster"
46,"blue-collar","married","primary","no",1114,"yes","no","unknown",15,"may",490,3,-1,0,"unknown","no","1"
29,"services","single","secondary","no",-79,"yes","yes","cellular",18,"may",16,4,355,4,"other","no","1"
25,"admin.","single","tertiary","no",1056,"yes","no","cellular",15,"may",363,1,-1,0,"unknown","no","1"
20,"student","single","tertiary","no",79,"yes","no","unknown",14,"may",168,3,-1,0,"unknown","no","1"
34,"admin.","single","secondary","no",1,"no","no","unknown",25,"jun",247,1,-1,0,"unknown","no","1"
48,"management","married","secondary","no",2892,"no","no","cellular",7,"jul",407,1,385,1,"success","yes","2"
56,"retired","divorced","secondary","no",1005,"no","yes","cellular",30,"jul",69,4,-1,0,"unknown","no","2"
60,"technician","married","tertiary","no",804,"no","no","cellular",7,"aug",36,2,-1,0,"unknown","no","1"
34,"services","married","secondary","no",-99,"yes","yes","cellular",7,"may",258,2,-1,0,"unknown","no","1"
53,"blue-collar","divorced","secondary","no",1912,"yes","yes","cellular",7,"apr",210,1,253,2,"failure","no","2"
35,"self-employed","married","tertiary","no",1833,"no","no","unknown",19,"jun",138,1,-1,0,"unknown","no","1"
28,"management","married","secondary","no",466,"yes","no","cellular",25,"may",123,2,-1,0,"unknown","no","1"
44,"services","divorced","secondary","no",206,"yes","no","cellular",14,"may",78,1,365,1,"failure","no","1"
38,"housemaid","divorced","primary","no",359,"no","no","unknown",9,"jun",242,4,-1,0,"unknown","no","1"
32,"blue-collar","married","primary","no",104,"yes","no","cellular",25,"jul",211,3,-1,0,"unknown","no","1"
40,"admin.","single","secondary","no",985,"yes","no","cellular",15,"apr",313,3,145,5,"other","no","1"
45,"admin.","married","secondary","no",840,"yes","no","unknown",30,"may",54,3,-1,0,"unknown","no","1"
37,"management","married","secondary","no",80,"no","no","cellular",27,"aug",155,3,-1,0,"unknown","no","1"
46,"blue-collar","married","primary","no",1291,"yes","no","cellular",14,"may",142,3,259,17,"failure","no","1"
35,"blue-collar","married","secondary","no",328,"yes","no","cellular",13,"may",484,3,364,1,"other","no","1"
